from,to,count
app,other,201
app,components,22
app,lib,126
app,utils,43
app,app,29
app,features,8
other,other,209
other,lib,81
other,utils,12
components,other,133
components,components,54
components,lib,36
components,features,8
components,utils,4
other,features,6
other,components,4
features,lib,45
features,features,36
features,other,87
features,utils,5
features,components,30
features,app,1
lib,lib,64
lib,other,25
lib,utils,8
utils,utils,3
utils,other,5
